YEAR,MO,DY,HR,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS,REF
2021,4,10,20,9.41,1.51,100.0,4.33,97.28,202104
2021,4,10,21,8.92,0.32,97.12,5.78,97.31,202104
2021,4,10,22,8.16,0.03,92.81,5.3,97.27,202104
2021,4,10,23,7.43,0.01,91.5,4.72,97.23,202104
2021,4,11,0,6.8,0.0,93.12,4.53,97.2,202104
2021,4,11,1,6.42,0.0,94.69,4.41,97.15,202104
2021,4,11,2,6.1,0.0,96.31,4.01,97.11,202104
2021,4,11,3,5.81,0.01,98.06,3.71,97.09,202104
2021,4,11,4,5.56,0.01,99.81,3.39,97.09,202104
2021,4,11,5,5.65,0.02,99.75,3.02,97.12,202104
2021,4,11,6,6.59,0.04,96.0,2.77,97.15,202104
2021,4,11,7,7.4,0.04,92.62,2.25,97.17,202104
2021,4,11,8,8.12,0.03,88.19,1.87,97.2,202104
2021,4,11,9,8.41,0.03,86.31,1.92,97.24,202104
2021,4,11,10,8.4,0.03,86.0,2.23,97.28,202104
2021,4,11,11,8.23,0.02,86.25,2.51,97.34,202104
2021,4,11,12,8.05,0.02,86.5,2.73,97.39,202104
2021,4,11,13,8.03,0.01,85.94,2.9,97.45,202104
2021,4,11,14,8.15,0.02,84.69,2.98,97.5,202104
2021,4,11,15,8.39,0.02,82.69,2.83,97.57,202104
2021,4,11,16,8.47,0.02,81.38,2.5,97.63,202104
2021,4,11,17,7.98,0.01,84.12,1.96,97.71,202104
2021,4,11,18,6.64,0.01,90.62,1.53,97.79,202104
2021,4,11,19,6.05,0.01,92.88,1.15,97.88,202104
2021,4,11,20,5.83,0.01,93.94,1.1,97.95,202104
2021,4,11,21,5.87,0.01,94.75,1.71,97.98,202104
2021,4,11,22,6.13,0.01,95.88,2.19,98.0,202104
2021,4,11,23,6.44,0.02,97.5,2.51,98.02,202104
2021,4,12,0,6.56,0.02,99.12,2.9,98.05,202104
2021,4,12,1,6.64,0.05,99.94,3.3,98.09,202104
2021,4,12,2,6.9,0.17,99.19,3.65,98.13,202104
2021,4,12,3,7.04,0.11,98.75,3.82,98.2,202104
2021,4,12,4,6.95,0.05,99.06,3.85,98.27,202104
2021,4,12,5,7.1,0.02,98.12,4.05,98.34,202104
2021,4,12,6,7.8,0.04,95.44,4.4,98.41,202104
2021,4,12,7,8.67,0.0,90.81,4.53,98.45,202104
2021,4,12,8,9.65,0.0,82.44,4.93,98.49,202104
2021,4,12,9,10.5,0.0,75.81,5.23,98.55,202104
2021,4,12,10,11.27,0.0,70.62,5.53,98.59,202104
2021,4,12,11,11.87,0.0,66.56,5.83,98.62,202104
2021,4,12,12,12.26,0.0,63.12,6.12,98.63,202104
2021,4,12,13,12.37,0.0,60.12,6.6,98.66,202104
2021,4,12,14,12.23,0.0,58.06,7.06,98.7,202104
2021,4,12,15,11.93,0.0,57.56,7.24,98.78,202104
2021,4,12,16,11.47,0.0,58.38,7.07,98.86,202104
2021,4,12,17,10.7,0.0,61.19,6.39,98.93,202104
2021,4,12,18,9.32,0.0,67.81,5.47,99.04,202104
